8922	33213	0.09
8922	14944	0.77
8922	7842	0.81
8922	4353	0.43
8922	4903	0.62
11014	1729	0.24
11014	16964	0.93
11014	14693	0.65
11014	7562	0.58
11014	28902	0.85
11014	31435	0.36
11014	11121	0.57
11014	7514	0.34
11014	4894	0.93
11014	3111	0.03
11014	15893	0.07
11014	6409	0.17
11014	19196	0.71
11014	9472	0.62
11014	3061	0.71
11014	14313	0.92
11014	7701	0.98
11014	761	0.16
11014	28259	0.48
11014	8060	0.81
11014	10964	0.46
11014	1745	0.03
11014	6663	0.7
11014	16435	0.23
11014	5200	0.65
11014	9821	0.42
5795	15277	0.82
5795	26020	0.36
12470	26196	0.56
12470	7926	0.92
12470	17791	0.06
12470	26185	0.73
12470	18422	0.26
9273	115	0.5
9273	33529	0.83
9273	9844	0.74
9273	14410	0.89
9273	17979	0.73
9273	13543	0.91
9273	28586	0.06
9273	3878	0.45
9273	4560	0.91
9273	5922	0.19
9273	33525	0.54
9273	13301	0.17
9273	4626	0.74
1260	20204	0.2
1260	33174	0.62
1260	2564	0.16
1260	11424	0.68
1260	13696	0.83
1260	5151	0.51
1260	13832	0.71
1260	4131	0.94
1260	14868	0.57
1260	18648	0.79
1260	13677	0.32
1260	7209	0.15
1260	10058	0.91
1260	31750	0.81
1260	8974	0.87
1260	16129	0.73
1260	22163	0.2
1260	6183	0.6
1260	21841	0.85
1260	16180	0.91
1260	14664	0.27
1260	12386	0.59
1260	4063	0.14
1260	2649	0.89
1260	2087	0.81
1260	2974	0.87
1260	14262	0.72
1260	15815	0.92
1260	32593	0.93
1260	11490	0.74
1260	1969	0.84
1260	21555	0.69
1260	10127	0.2
1260	6746	0.15
1260	13476	0.69
1260	10439	0.73
1260	17525	0.15
1260	20153	0.68
1912	593	0.73
1912	28237	0.42
1912	9881	0.36
1912	7092	0.27
1912	10452	0.45
23972	16173	0.16
23972	8553	0.69
23972	7868	0.58
23972	6529	0.91
23972	8387	0.48
51	11338	0.19
51	25339	0.09
51	13393	0.74
30401	2038	0.29
30401	9587	0.22
30401	13426	0.65
30401	13813	0.93
30401	14342	0.31
30401	10374	0.78
10010	26198	0.0
10010	10462	0.63
14669	9859	0.23
14669	14812	0.16
14669	9147	0.96
14669	11898	0.92
14669	6441	0.78
14669	13922	0.16
14669	6941	0.99
14669	9570	0.55
14669	11870	0.09
14669	15427	0.17
14669	1930	0.12
14669	6733	0.11
14669	19360	0.23
14669	3163	0.76
14669	19083	0.65
14669	17528	0.53
14669	11971	0.17
14669	2755	0.25
14669	2186	0.02
14669	1816	0.54
14669	7043	0.49
14669	6350	0.11
14669	6131	0.97
14669	17197	0.23
14669	7097	0.85
14669	409	0.99
14669	1829	0.48
14669	9856	0.15
14669	3429	0.82
14669	13520	0.58
14669	11995	0.24
14669	10662	0.31
14669	14785	0.26
14669	30928	0.87
14669	10247	0.06
14669	26129	0.51
14669	3785	0.27
14669	12849	0.63
14669	25425	0.82
14669	8631	0.13
14669	8000	0.43
14669	199	0.93
14669	10248	0.77
14669	6830	0.06
14669	2024	0.41
14669	9090	0.55
14669	5251	0.52
14669	15150	0.6
14669	5729	0.48
14669	13066	0.78
14669	10661	0.54
14669	291	0.58
14669	5112	0.26
14669	10318	0.31
14669	5318	0.57
14669	14479	0.56
14669	27887	0.82
14669	747	0.8
14669	1459	0.63
14669	9821	0.86
14669	11858	0.72
14669	12857	0.18
14669	17879	0.27
14669	14400	0.07
14669	14273	0.8
14669	6041	0.35
14669	13994	0.39
14669	5571	0.07
14669	2148	0.64
14669	3901	0.26
14669	15206	0.26
14669	14055	0.39
14669	13279	0.94
14669	15821	0.84
14669	5570	0.82
14669	5550	0.03
14669	31815	0.29
14669	8815	0.16
14669	11373	0.69
14669	3205	0.85
14669	13551	0.91
14669	2682	0.33
14669	17145	0.48
14669	15467	0.96
14669	23487	0.83
14669	14819	0.17
14669	30569	0.33
14669	8826	0.23
14669	16011	0.74
14669	16969	0.33
14669	12508	0.08
14669	7714	0.13
14669	3884	0.69
14669	8457	0.63
14669	17886	0.1
14669	6421	0.36
14669	16159	0.87
14669	11579	0.29
14669	30088	0.9
14669	571	0.14
14669	12438	0.73
14669	6933	0.19
14669	6462	0.72
14669	314	0.87
14669	3638	0.05
14669	3959	0.2
14669	33241	0.47
14669	28198	0.72
14669	10632	0.75
14669	10760	0.95
14669	34278	0.68
14669	11008	0.07
14669	4699	0.34
14669	795	0.33
14669	11147	0.24
14669	10055	0.48
14669	10693	0.93
14669	13665	0.54
14669	1163	0.61
14669	4195	0.03
14669	493	0.33
14669	5704	0.13
14669	11195	0.05
14669	3416	0.82
14669	13303	0.33
14669	9559	0.34
14669	5753	0.63
14669	16229	0.9
14669	14588	0.6
14669	13705	0.85
14669	16060	0.84
14669	3043	0.52
14669	15837	0.24
14669	13917	0.82
15554	454	0.09
15554	3167	0.09
15554	11232	0.61
15554	1391	0.36
